"","atlas","id","name","abbr","neocortex","temporal_cortex","motor_cortex","frontal_cortex","claustrum","globus_pallidus","cingulate_cortex","auditory_cortex","insula","medial_prefrontal_cortex","striatum","orbitofrontal_cortex","agranular_insular_cortex","substantia_nigra","parietal_cortex","visual_cortex","piriform_cortex","prefrontal_cortex","rhinal_cortex","hippocampus","hypothalamus","somatosensory_cortex","retrosplenial_cortex","white_matter"
"129","paxinos",1,"10th cerebellar lobule (nodule)","10Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"130","paxinos",8,"1st cerebellar lobule (lingula)","1Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"131","paxinos",11,"2b cerebellar lobule","2bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"132","paxinos",9,"2nd and 3rd cerebellar lobules","2/3Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"133","paxinos",10,"2nd cerebellar lobule","2Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"134","paxinos",13,"3rd and 4th cerebellar lobules","3/4Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"135","paxinos",14,"3rd cerebellar lobule","3Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"136","paxinos",17,"3rd ventricle","3V","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"137","paxinos",19,"4th and 5th cerebellar lobules","4/5Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"138","paxinos",21,"4th cerebellar lobule","4Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"139","paxinos",24,"4th ventricle","4V","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"140","paxinos",27,"5th cerebellar lobule","5Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"141","paxinos",41,"6a cerebellar lobule","6aCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"142","paxinos",43,"6b cerebellar lobule","6bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"143","paxinos",44,"6c cerebellar lobule","6cCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"144","paxinos",37,"6th cerebellar lobule","6Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"145","paxinos",46,"7th cerebellar lobule","7Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"146","paxinos",57,"8th cerebellar lobule","8Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"147","paxinos",62,"9th cerebellar lobule","9Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"148","paxinos",63,"9th cerebellar lobule, a and b","9a,bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"149","paxinos",64,"9th cerebellar lobule, c","9cCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"150","paxinos",69,"A11dopamine cells","A11","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"151","paxinos",70,"A13 dopamine cells","A13","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"152","paxinos",71,"A14 dopamine cells",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"153","paxinos",67,"A1 noradrenaline cells","A1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"154","paxinos",68,"A1 noradrenaline cells/C1 adrenaline cells","A1/C1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"155","paxinos",72,"A2 noradrenaline cells","A2","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"156","paxinos",73,"A5 noradrenaline cells","A5","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"157","paxinos",74,"A7 noradrenaline cells","A7","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"158","paxinos",75,"A8 dopamine cells",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"159","paxinos",38,"abducens nucleus","6N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"160","paxinos",39,"abducens nucleus, retractor bulbi part","6RB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"161","paxinos",125,"accessory abducens/facial nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"162","paxinos",4,"accessory nerve nucleus","11N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"163","paxinos",96,"accessory neurosecretory nuclei","ANS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"164","paxinos",98,"accessory olfactory bulb","AOB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"165","paxinos",945,"accessory olfactory tract","aot","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"166","paxinos",119,"accumbens nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"167","paxinos",120,"accumbens nucleus, core","AcbC","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no"
"168","paxinos",123,"accumbens nucleus neuroepithelium",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"169","paxinos",121,"accumbens nucleus, rostral pole",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"170","paxinos",122,"accumbens nucleus, shell","AcbSh","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no"
"171","paxinos",90,"agranular insular cortex, dorsal part","AID","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"172","paxinos",91,"agranular insular cortex, posterior part","AIP","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"173","paxinos",92,"agranular insular cortex, ventral part","AIV","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"174","paxinos",128,"alar nucleus","Al","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"175","paxinos",943,"alveus of the hippocampus","alv","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"176","paxinos",129,"ambiguus nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"177","paxinos",130,"ambiguus nucleus, compact part","AmbC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"178","paxinos",131,"ambiguus nucleus, loose part","AmbL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"179","paxinos",132,"ambiguus nucleus, subcompact part","AmbSC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"180","paxinos",86,"amygdalohippocampal area","AHi","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"181","paxinos",87,"amygdalohippocampal area, anterolateral part","AHiAL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"182","paxinos",89,"amygdalohippocampal area, posterolateral","AHiPL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"183","paxinos",353,"amygdaloid intramedullary gray","IMG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"184","paxinos",110,"amygdalopiriform transition area","APir","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"185","paxinos",111,"amygdalostriatal transition area","ASt","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"186","paxinos",134,"angular thalamic nucleus","AngT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"187","paxinos",946,"ansoparamedian fissure","apmf","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"188","paxinos",76,"anterior amygdaloid area","AA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"189","paxinos",940,"anterior cerebral artery","acer","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"190","paxinos",938,"anterior commissure","ac","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"191","paxinos",939,"anterior commissure, anterior part","aca","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"192","paxinos",941,"anterior commissure, intrabulbar part","aci","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"193","paxinos",942,"anterior commissure, posterior part","acp","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"194","paxinos",79,"anterior cortical amygdaloid nucleus","ACo","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"195","paxinos",82,"anterior hypothalamic area",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"196","paxinos",83,"anterior hypothalamic area, anterior part","AHA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"197","paxinos",84,"anterior hypothalamic area, central part","AHC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"198","paxinos",85,"anterior hypothalamic area, posterior part","AHP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"199","paxinos",97,"anterior olfactory nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"200","paxinos",99,"anterior olfactory nucleus, dorsal part","AOD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"201","paxinos",100,"anterior olfactory nucleus, external part","AOE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"202","paxinos",101,"anterior olfactory nucleus, lateral part","AOL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"203","paxinos",102,"anterior olfactory nucleus, medial part","AOM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"204","paxinos",103,"anterior olfactory nucleus, posterior part","AOP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"205","paxinos",104,"anterior olfactory nucleus, ventral part","AOV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"206","paxinos",105,"anterior olfactory nucleus, ventroposterior part","AOVP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"207","paxinos",107,"anterior pretectal nucleus","APT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"208","paxinos",108,"anterior pretectal nucleus, dorsal part","APTD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"209","paxinos",109,"anterior pretectal nucleus, ventral part","APTV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"210","paxinos",949,"anterior spinal artery","asp","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"211","paxinos",112,"anterior tegmental nucleus","ATg","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"212","paxinos",80,"anterodorsal thalamic nucleus","AD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"213","paxinos",94,"anteromedial thalamic nucleus","AM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"214","paxinos",95,"anteromedial thalamic nucleus, ventral part","AMV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"215","paxinos",117,"anteroventral periventricular nucleus","AVPe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"216","paxinos",114,"anteroventral thalamic nucleus","AV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"217","paxinos",118,"anteroventral thalamic nucleus, ventrolateral part","AVVL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"218","paxinos",115,"anterovent thalamic nucleus, dorsomedial part","AVDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"219","paxinos",137,"aqueduct","Aq","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"220","paxinos",138,"arcuate hypothalamic nucleus","Arc","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"221","paxinos",139,"arcuate hypothalamic nucleus, dorsal part","ArcD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"222","paxinos",140,"arcuate hypothalamic nucleus, lateral part","ArcL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"223","paxinos",141,"arcuate hypothalamic nucleus, lateroposterior part","ArcLP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"224","paxinos",142,"arcuate hypothalamic nucleus, medial part","ArcM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"225","paxinos",143,"arcuate hypothalamic nucleus, medial posterior part","ArcMP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"226","paxinos",106,"area postrema","AP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"227","paxinos",947,"arteries",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"228","paxinos",936,"artery","a","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"229","paxinos",948,"ascending fibers of the facial nerve","asc7","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"230","paxinos",113,"ATh",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"231","paxinos",145,"auditory cortex",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"232","paxinos",950,"azygous anterior cerebral artery","azac","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"233","paxinos",951,"azygous pericallosal artery","azp","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"234","paxinos",152,"B9 serotonin cells","B9","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"235","paxinos",164,"Barrington's nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"236","paxinos",155,"basal ganglia",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"237","paxinos",150,"basal nucleus (Meynert)","B","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"238","paxinos",953,"basilar artery","bas","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"239","paxinos",157,"basolateral amygdaloid nucleus","BL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"240","paxinos",158,"basolateral amygdaloid nucleus, anterior part","BLA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"241","paxinos",159,"basolateral amygdaloid nucleus, posterior part","BLP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"242","paxinos",160,"basolateral amygdaloid nucleus, ventral part","BLV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"243","paxinos",161,"basomedial amygdaloid nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"244","paxinos",162,"basomedial amygdaloid nucleus, anterior part","BMA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"245","paxinos",163,"basomedial amygdaloid nucleus, posterior part","BMP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"246","paxinos",313,"bed nucleus of stria terminalis, fusiform part","Fu","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"247","paxinos",788,"bed nucleus of stria terminalis, supracapsular division","STS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"248","paxinos",790,"bed nucleus of stria terminalis, supracapsular division, lateralpart","STSM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"249","paxinos",789,"bed nucleus of stria terminalis, supracapsular division, medial part","STSL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"250","paxinos",154,"bed nucleus of the accessory olfactory tract","BAOT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"251","paxinos",153,"bed nucleus of the anterior commissure","BAC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"252","paxinos",768,"bed nucleus of the stria terminalis",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"253","paxinos",769,"bed nucleus of the stria terminalis, dorsal part",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"254","paxinos",770,"bed nucleus of the stria terminalis, intermediate division",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"255","paxinos",771,"bed nucleus of the stria terminalis, intraamygdaloid division","STIA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"256","paxinos",773,"bed nucleus of the stria terminalis, lateral division","STL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"257","paxinos",774,"bed nucleus of the stria terminalis, lateral division, dorsal part","STLD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"258","paxinos",775,"bed nucleus of the stria terminalis, lateral division, intermediate part","STLI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"259","paxinos",776,"bed nucleus of the stria terminalis, lateral division, juxtacapsular part","STLJ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"260","paxinos",777,"bed nucleus of the stria terminalis, lateral division, posterior part","STLP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"261","paxinos",778,"bed nucleus of the stria terminalis, lateral division, ventral part","STLV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"262","paxinos",779,"bed nucleus of the stria terminalis, medial division","STM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"263","paxinos",780,"bed nucleus of the stria terminalis, medial division, anterior part","STMA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"264","paxinos",781,"bed nucleus of the stria terminalis, medial division, anterolateral part","STMAL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"265","paxinos",782,"bed nucleus of the stria terminalis, medial division, anteromedial part","STMAM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"266","paxinos",783,"bed nucleus of the stria terminalis, medial division, posterior part","STMP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"267","paxinos",784,"bed nucleus of the stria terminalis, medial division, posterointermediate part","STMPI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"268","paxinos",785,"bed nucleus of the stria terminalis, medial division, posterolateral part","STMPL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"269","paxinos",786,"bed nucleus of the stria terminalis, medial division, posteromedial part","STMPM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"270","paxinos",787,"bed nucleus of the stria terminalis, medial division, ventral part","STMV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"271","paxinos",165,"Botzinger complex","Bo","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"272","paxinos",954,"brachium of the inferior colliculus","bic","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"273","paxinos",955,"brachium of the superior colliculus","bsc","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"274","paxinos",168,"C1 adrenaline cells","C1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"275","paxinos",169,"C2 adrenaline cells","C2","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"276","paxinos",170,"C3 adrenaline cells","C3","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"277","paxinos",185,"caudal interstitial nucleus of the medial longitudinal fasciculus","CI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"278","paxinos",188,"caudal linear nucleus of the raphe","CLi","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"279","paxinos",190,"caudal periolivary nucleus","CPO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"280","paxinos",191,"caudate putamen (striatum)","CPu","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no"
"281","paxinos",178,"caudomedial entorhinal cortex",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"282","paxinos",193,"caudoventrolateral reticular nucleus","CVL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"283","paxinos",176,"cell bridges of the ventral striatum","CB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"284","paxinos",195,"central amygdaloid nucleus","Ce","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"285","paxinos",196,"central amygdaloid nucleus, capsular part","CeC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"286","paxinos",198,"central amygdaloid nucleus, lateral division","CeL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"287","paxinos",199,"central amygdaloid nucleus, medial division","CeM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"288","paxinos",177,"central canal","CC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"289","paxinos",197,"central cervical nucleus of the spinal cord","CeCv","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"290","paxinos",179,"central gray","CG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"291","paxinos",180,"central gray, alpha part","CGA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"292","paxinos",181,"central gray, beta part","CGB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"293","paxinos",182,"central gray, gamma part","CGG","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"294","paxinos",183,"central gray, nucleus O","CGO","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"295","paxinos",184,"central gray of the pons","CGPn","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"296","paxinos",189,"central medial thalamic nucleus","CM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"297","paxinos",186,"central nucleus of the inferior colliculus","CIC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"298","paxinos",187,"centrolateral thalamic nucleus","CL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"299","paxinos",957,"cerebellar white matter","cbw","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
