"","atlas","id","name","abbr","neocortex","temporal_cortex","motor_cortex","frontal_cortex","claustrum","globus_pallidus","cingulate_cortex","auditory_cortex","insula","medial_prefrontal_cortex","striatum","orbitofrontal_cortex","agranular_insular_cortex","substantia_nigra","parietal_cortex","visual_cortex","piriform_cortex","prefrontal_cortex","rhinal_cortex","hippocampus","hypothalamus","somatosensory_cortex","retrosplenial_cortex","white_matter","side","name_bilateral","abbr_bilateral"
"129","paxinos",1,"10th cerebellar lobule (nodule)","10Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_10th cerebellar lobule (nodule)","ri_10Cb"
"356","paxinos",2,"dorsal motor nucleus of vagus","10N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_dorsal motor nucleus of vagus","ri_10N"
"1035","paxinos",3,"vagus nerve","10n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_vagus nerve","ri_10n"
"162","paxinos",4,"accessory nerve nucleus","11N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accessory nerve nucleus","ri_11N"
"463","paxinos",5,"hypoglossal nucleus, geniohyoid part","12GH","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_hypoglossal nucleus, geniohyoid part","ri_12GH"
"462","paxinos",6,"hypoglossal nucleus","12N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_hypoglossal nucleus","ri_12N"
"911","paxinos",7,"root of hypoglossal nerve","12n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_root of hypoglossal nerve","ri_12n"
"130","paxinos",8,"1st cerebellar lobule (lingula)","1Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_1st cerebellar lobule (lingula)","ri_1Cb"
"132","paxinos",9,"2nd and 3rd cerebellar lobules","2/3Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_2nd and 3rd cerebellar lobules","ri_2/3Cb"
"133","paxinos",10,"2nd cerebellar lobule","2Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_2nd cerebellar lobule","ri_2Cb"
"131","paxinos",11,"2b cerebellar lobule","2bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_2b cerebellar lobule","ri_2bCb"
"743","paxinos",12,"optic nerve","2n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_optic nerve","ri_2n"
"134","paxinos",13,"3rd and 4th cerebellar lobules","3/4Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_3rd and 4th cerebellar lobules","ri_3/4Cb"
"135","paxinos",14,"3rd cerebellar lobule","3Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_3rd cerebellar lobule","ri_3Cb"
"732","paxinos",15,"oculomotor nucleus","3N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_oculomotor nucleus","ri_3N"
"733","paxinos",16,"oculomotor nucleus, parvicellular part","3PC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_oculomotor nucleus, parvicellular part","ri_3PC"
"136","paxinos",17,"3rd ventricle","3V","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_3rd ventricle","ri_3V"
