"","atlas","id","name","neocortex","striatum","hippocampus","white_matter"
"1","waxholm",1,"descending corticofugal pathways","no","no","no","no"
"2","waxholm",2,"substantia nigra","no","no","no","no"
"3","waxholm",3,"subthalamic nucleus","no","no","no","no"
"4","waxholm",4,"molecular layer of the cerebellum","no","no","no","no"
"5","waxholm",5,"granule cell level of the cerebellum","no","no","no","no"
"6","waxholm",6,"alveus of the hippocampus","no","no","yes","no"
"7","waxholm",7,"inferior cerebellar peduncle","no","no","no","no"
"8","waxholm",10,"cingulate cortex, area 2","no","no","no","no"
"9","waxholm",30,"striatum","no","yes","no","no"
"10","waxholm",31,"globus pallidus","no","no","no","no"
"11","waxholm",32,"entopeduncular nucleus","no","no","no","no"
"12","waxholm",33,"ventricular system","no","no","no","no"
"13","waxholm",34,"medial lemniscus","no","no","no","no"
"14","waxholm",35,"facial nerve","no","no","no","no"
"15","waxholm",36,"anterior commissure, anterior part","no","no","no","no"
"16","waxholm",37,"anterior commissure, posterior part","no","no","no","no"
"17","waxholm",38,"ventral hippocampal commissure","no","no","yes","no"
"18","waxholm",39,"thalamus","no","no","no","no"
"19","waxholm",40,"septal region","no","no","no","no"
"20","waxholm",41,"optic nerve","no","no","no","no"
"21","waxholm",42,"optic tract and optic chiasm","no","no","no","no"
"22","waxholm",43,"pineal gland","no","no","no","no"
"23","waxholm",44,"inner ear","no","no","no","no"
"24","waxholm",45,"spinal cord","no","no","no","no"
"25","waxholm",46,"commissure of the superior colliculus","no","no","no","no"
"26","waxholm",47,"brainstem","no","no","no","no"
"27","waxholm",48,"hypothalamic region","no","no","no","no"
"28","waxholm",49,"inferior colliculus","no","no","no","no"
"29","waxholm",50,"superficial gray layer of the superior colliculus","no","no","no","no"
"30","waxholm",51,"periaqueductal gray","no","no","no","no"
"31","waxholm",52,"fornix","no","no","no","no"
"32","waxholm",53,"mammillothalamic tract","no","no","no","no"
"33","waxholm",54,"commissural stria terminalis","no","no","no","no"
"34","waxholm",55,"deeper layers of the superior colliculus","no","no","no","no"
"35","waxholm",56,"periventricular gray","no","no","no","no"
"36","waxholm",57,"genu of the facial nerve","no","no","no","no"
"37","waxholm",58,"pontine nuclei","no","no","no","no"
"38","waxholm",59,"fimbria of the hippocampus","no","no","no","no"
"39","waxholm",60,"fasciculus retroflexus","no","no","no","no"
"40","waxholm",61,"stria medullaris of the thalamus","no","no","no","no"
"41","waxholm",62,"stria terminalis","no","no","no","no"
"42","waxholm",63,"posterior commissure","no","no","no","no"
"43","waxholm",64,"glomerular layer of the accessory olfactory bulb","no","no","no","no"
"44","waxholm",65,"glomerular layer of the olfactory bulb","no","no","no","no"
"45","waxholm",66,"olfactory bulb","no","no","no","no"
"46","waxholm",67,"corpus callosum and associated subcortical white matter","no","no","no","yes"
"47","waxholm",68,"brachium of the superior colliculus","no","no","no","no"
"48","waxholm",69,"commissure of the inferior colliculus","no","no","no","no"
"49","waxholm",70,"central canal","no","no","no","no"
"50","waxholm",71,"interpeduncular nucleus","no","no","no","no"
"51","waxholm",72,"ascending fibers of the facial nerve","no","no","no","no"
"52","waxholm",73,"anterior commissure","no","no","no","no"
"53","waxholm",74,"inferior olive","no","no","no","no"
"54","waxholm",75,"spinal trigeminal nuclus","no","no","no","no"
"55","waxholm",76,"spinal trigeminal tract","no","no","no","no"
"56","waxholm",77,"frontal associiation cortex","no","no","no","no"
"57","waxholm",78,"middle cerebellar peduncle","no","no","no","no"
"58","waxholm",79,"transverse fibers of the pons","no","no","no","no"
"59","waxholm",80,"habenular commissure","no","no","no","no"
"60","waxholm",81,"nucleus of the stria medullaris","no","no","no","no"
"61","waxholm",82,"basal forebrain region","no","no","no","no"
"62","waxholm",83,"supraoptic decussation","no","no","no","no"
"63","waxholm",84,"medial lemniscus decussation","no","no","no","no"
"64","waxholm",85,"pyramidal decussation","no","no","no","no"
"65","waxholm",92,"neocortex","yes","no","no","no"
"66","waxholm",93,"bed nucleus of the stria terminalis","no","no","no","no"
"67","waxholm",94,"pretectal region","no","no","no","no"
"68","waxholm",95,"cornu ammonis 3","no","no","yes","no"
"69","waxholm",96,"dentate gyrus","no","no","yes","no"
"70","waxholm",97,"cornu ammonis 2","no","no","yes","no"
"71","waxholm",98,"cornu ammonis 1","no","no","yes","no"
"72","waxholm",99,"fasciola cinereum","no","no","yes","no"
"73","waxholm",100,"subiculum","no","no","yes","no"
"74","waxholm",108,"postrhinal cortex","no","no","no","no"
"75","waxholm",109,"presubiculum","no","no","no","no"
"76","waxholm",110,"parasubiculum","no","no","no","no"
"77","waxholm",112,"perirhinal area 35","no","no","no","no"
"78","waxholm",113,"perirhinal area 36","no","no","no","no"
"79","waxholm",114,"entorhinal cortex","no","no","no","no"
"80","waxholm",115,"lateral entorhinal cortex","no","no","no","no"
