"","atlas","id","name","neocortex","striatum","hippocampus","white_matter","side","name_bilateral"
"1","waxholm",1,"descending corticofugal pathways","no","no","no","no","right","ri_descending corticofugal pathways"
"2","waxholm",2,"substantia nigra","no","no","no","no","right","ri_substantia nigra"
"3","waxholm",3,"subthalamic nucleus","no","no","no","no","right","ri_subthalamic nucleus"
"4","waxholm",4,"molecular layer of the cerebellum","no","no","no","no","right","ri_molecular layer of the cerebellum"
"5","waxholm",5,"granule cell level of the cerebellum","no","no","no","no","right","ri_granule cell level of the cerebellum"
"6","waxholm",6,"alveus of the hippocampus","no","no","yes","no","right","ri_alveus of the hippocampus"
"7","waxholm",7,"inferior cerebellar peduncle","no","no","no","no","right","ri_inferior cerebellar peduncle"
"8","waxholm",10,"cingulate cortex, area 2","no","no","no","no","right","ri_cingulate cortex, area 2"
"9","waxholm",30,"striatum","no","yes","no","no","right","ri_striatum"
"10","waxholm",31,"globus pallidus","no","no","no","no","right","ri_globus pallidus"
"11","waxholm",32,"entopeduncular nucleus","no","no","no","no","right","ri_entopeduncular nucleus"
"12","waxholm",33,"ventricular system","no","no","no","no","right","ri_ventricular system"
"13","waxholm",34,"medial lemniscus","no","no","no","no","right","ri_medial lemniscus"
"14","waxholm",35,"facial nerve","no","no","no","no","right","ri_facial nerve"
"15","waxholm",36,"anterior commissure, anterior part","no","no","no","no","right","ri_anterior commissure, anterior part"
"16","waxholm",37,"anterior commissure, posterior part","no","no","no","no","right","ri_anterior commissure, posterior part"
"17","waxholm",38,"ventral hippocampal commissure","no","no","yes","no","right","ri_ventral hippocampal commissure"
"18","waxholm",39,"thalamus","no","no","no","no","right","ri_thalamus"
"19","waxholm",40,"septal region","no","no","no","no","right","ri_septal region"
"20","waxholm",41,"optic nerve","no","no","no","no","right","ri_optic nerve"
"21","waxholm",42,"optic tract and optic chiasm","no","no","no","no","right","ri_optic tract and optic chiasm"
"22","waxholm",43,"pineal gland","no","no","no","no","right","ri_pineal gland"
"23","waxholm",44,"inner ear","no","no","no","no","right","ri_inner ear"
"24","waxholm",45,"spinal cord","no","no","no","no","right","ri_spinal cord"
"25","waxholm",46,"commissure of the superior colliculus","no","no","no","no","right","ri_commissure of the superior colliculus"
"26","waxholm",47,"brainstem","no","no","no","no","right","ri_brainstem"
"27","waxholm",48,"hypothalamic region","no","no","no","no","right","ri_hypothalamic region"
"28","waxholm",49,"inferior colliculus","no","no","no","no","right","ri_inferior colliculus"
"29","waxholm",50,"superficial gray layer of the superior colliculus","no","no","no","no","right","ri_superficial gray layer of the superior colliculus"
"30","waxholm",51,"periaqueductal gray","no","no","no","no","right","ri_periaqueductal gray"
"31","waxholm",52,"fornix","no","no","no","no","right","ri_fornix"
"32","waxholm",53,"mammillothalamic tract","no","no","no","no","right","ri_mammillothalamic tract"
"33","waxholm",54,"commissural stria terminalis","no","no","no","no","right","ri_commissural stria terminalis"
"34","waxholm",55,"deeper layers of the superior colliculus","no","no","no","no","right","ri_deeper layers of the superior colliculus"
"35","waxholm",56,"periventricular gray","no","no","no","no","right","ri_periventricular gray"
"36","waxholm",57,"genu of the facial nerve","no","no","no","no","right","ri_genu of the facial nerve"
"37","waxholm",58,"pontine nuclei","no","no","no","no","right","ri_pontine nuclei"
"38","waxholm",59,"fimbria of the hippocampus","no","no","no","no","right","ri_fimbria of the hippocampus"
"39","waxholm",60,"fasciculus retroflexus","no","no","no","no","right","ri_fasciculus retroflexus"
"40","waxholm",61,"stria medullaris of the thalamus","no","no","no","no","right","ri_stria medullaris of the thalamus"
"41","waxholm",62,"stria terminalis","no","no","no","no","right","ri_stria terminalis"
"42","waxholm",63,"posterior commissure","no","no","no","no","right","ri_posterior commissure"
"43","waxholm",64,"glomerular layer of the accessory olfactory bulb","no","no","no","no","right","ri_glomerular layer of the accessory olfactory bulb"
"44","waxholm",65,"glomerular layer of the olfactory bulb","no","no","no","no","right","ri_glomerular layer of the olfactory bulb"
"45","waxholm",66,"olfactory bulb","no","no","no","no","right","ri_olfactory bulb"
